run,seed,condition,SNR_target,acc_noisy,acc_unet,unet_recovery,snr_in,snr_out_unet,unet_snr_improve
1,42,traffic,20,41.0,48.25,7.25,18.422813,15.980371,-2.442442
1,42,traffic,15,33.75,44.25,10.5,14.132502,14.051345,-0.08115673
1,42,traffic,10,28.000000000000004,41.0,12.999999999999996,9.58878,11.588435,1.9996548
1,42,traffic,5,18.5,33.5,15.0,4.833919,8.788187,3.954268
1,42,traffic,0,12.25,24.25,12.0,-0.058093943,5.896014,5.954108
1,42,traffic,-5,5.25,17.25,12.0,-5.016709,3.039866,8.056575
1,42,traffic,-10,2.75,12.25,9.5,-9.9065075,0.37815574,10.284663
1,42,gaussian,20,42.25,52.5,10.25,18.421959,17.140985,-1.2809734
1,42,gaussian,15,34.25,51.5,17.25,14.1318245,16.034805,1.9029808
1,42,gaussian,10,22.5,47.75,25.25,9.589425,14.3803005,4.7908754
1,42,gaussian,5,8.75,39.75,31.0,4.8342113,12.220747,7.3865356
1,42,gaussian,0,2.75,30.75,28.0,-0.05796325,9.785867,9.84383
1,42,gaussian,-5,2.0,23.5,21.5,-5.018065,7.2248793,12.242945
1,42,gaussian,-10,2.0,15.5,13.5,-9.983931,4.38989,14.373821
2,142,traffic,20,40.75,41.5,0.75,18.422813,10.215897,-8.206917
2,142,traffic,15,33.75,34.75,1.0,14.132467,9.334409,-4.7980585
2,142,traffic,10,25.25,27.250000000000004,2.0000000000000036,9.588746,7.979078,-1.6096683
2,142,traffic,5,19.0,20.25,1.25,4.8339562,6.2559056,1.4219494
2,142,traffic,0,11.25,15.75,4.5,-0.058132447,4.313553,4.3716855
2,142,traffic,-5,5.5,11.75,6.25,-5.0166335,2.2397404,7.256374
2,142,traffic,-10,2.25,7.75,5.5,-9.906327,-0.14805993,9.758267
2,142,gaussian,20,44.0,47.25,3.25,18.42137,10.563175,-7.8581944
2,142,gaussian,15,33.25,41.0,7.75,14.132977,9.985129,-4.147847
2,142,gaussian,10,21.75,34.5,12.75,9.589411,9.044241,-0.54516983
2,142,gaussian,5,9.0,30.0,21.0,4.8328915,7.8419337,3.0090423
2,142,gaussian,0,2.75,23.5,20.75,-0.057793483,6.3903246,6.448118
2,142,gaussian,-5,2.0,14.499999999999998,12.499999999999998,-5.0171967,4.6846848,9.701881
2,142,gaussian,-10,2.0,7.5,5.5,-9.981852,3.0034363,12.985288
3,242,traffic,20,39.75,45.5,5.75,18.42283,11.941049,-6.481782
3,242,traffic,15,35.25,39.25,4.0,14.132451,10.930595,-3.2018557
3,242,traffic,10,27.250000000000004,34.5,7.2499999999999964,9.588838,9.48,-0.10883808
3,242,traffic,5,19.25,26.0,6.75,4.833977,7.57685,2.7428727
3,242,traffic,0,10.75,18.5,7.75,-0.058169346,5.327927,5.3860965
3,242,traffic,-5,7.000000000000001,12.5,5.499999999999999,-5.016456,2.6951087,7.711565
3,242,traffic,-10,3.0,7.000000000000001,4.000000000000001,-9.906498,-0.17210096,9.734397
3,242,gaussian,20,44.25,48.0,3.75,18.423025,12.359677,-6.063348
3,242,gaussian,15,33.25,47.25,14.0,14.132739,11.608406,-2.524333
3,242,gaussian,10,22.25,41.5,19.25,9.588529,10.542917,0.9543886
3,242,gaussian,5,9.25,40.25,31.0,4.8340774,9.158658,4.3245807
3,242,gaussian,0,3.25,31.5,28.25,-0.058505047,7.525546,7.584051
3,242,gaussian,-5,2.0,22.75,20.75,-5.017194,5.766427,10.783621
3,242,gaussian,-10,2.0,17.75,15.75,-9.9831915,4.0080824,13.991274
4,342,traffic,20,41.0,46.25,5.25,18.422806,10.074645,-8.348161
4,342,traffic,15,34.25,40.5,6.25,14.132476,9.487892,-4.6445837
4,342,traffic,10,27.500000000000004,29.5,1.9999999999999964,9.5887575,8.428305,-1.1604528
4,342,traffic,5,20.0,23.75,3.75,4.8340144,6.8226476,1.9886332
4,342,traffic,0,10.75,15.25,4.5,-0.058107615,4.768273,4.8263807
4,342,traffic,-5,5.25,10.5,5.25,-5.016654,2.3245208,7.341175
4,342,traffic,-10,2.5,8.0,5.5,-9.906458,-0.46967775,9.43678
4,342,gaussian,20,43.0,49.5,6.5,18.423933,10.271253,-8.15268
4,342,gaussian,15,34.0,46.0,12.0,14.132132,9.92994,-4.2021914
4,342,gaussian,10,23.0,40.0,17.0,9.58791,9.330005,-0.257905
4,342,gaussian,5,8.5,32.75,24.25,4.834665,8.403171,3.5685058
4,342,gaussian,0,3.0,25.0,22.0,-0.05810474,7.1245213,7.182626
4,342,gaussian,-5,2.0,19.5,17.5,-5.018152,5.5612574,10.57941
4,342,gaussian,-10,2.0,14.000000000000002,12.000000000000002,-9.98277,3.8755,13.85827
5,442,traffic,20,42.0,44.75,2.75,18.422815,12.129803,-6.2930126
