run,condition,SNR_target,acc_clean,acc_noisy,acc_unet,unet_recovery,snr_in,snr_out_unet,unet_snr_improve
1,traffic,20,87.5,87.5,88.0,0.5,19.991133,21.269009,1.2778759
1,traffic,15,87.5,84.5,87.25,2.75,15.000872,17.906214,2.905342
1,traffic,10,87.5,79.25,88.0,8.75,10.005515,14.307595,4.30208
1,traffic,5,87.5,69.0,83.5,14.5,5.0098953,10.803692,5.7937965
1,traffic,0,87.5,56.25,76.75,20.5,0.02614463,7.602616,7.5764713
1,traffic,-5,87.5,37.5,60.0,22.5,-4.897701,4.86119,9.75889
1,traffic,-10,87.5,18.25,38.5,20.25,-9.613463,2.7649097,12.378373
1,traffic,-15,87.5,7.000000000000001,24.75,17.75,-13.838883,1.2765881,15.115472
1,traffic,-20,87.5,3.5000000000000004,14.75,11.25,-17.295584,0.1809843,17.476568
1,gaussian,20,87.5,86.0,88.5,2.5,19.990967,19.616697,-0.3742695
1,gaussian,15,87.5,80.0,85.0,5.0,15.00092,15.649409,0.648489
1,gaussian,10,87.5,68.75,73.75,5.0,10.005019,11.236648,1.2316284
1,gaussian,5,87.5,51.5,61.25000000000001,9.750000000000007,5.008711,6.5127473,1.5040364
1,gaussian,0,87.5,27.250000000000004,42.5,15.249999999999996,0.019628637,1.8455287,1.8259001
1,gaussian,-5,87.5,9.25,22.75,13.5,-4.924702,-2.603323,2.3213792
1,gaussian,-10,87.5,2.0,11.25,9.25,-9.687774,-6.686984,3.0007896
1,gaussian,-15,87.5,2.0,3.75,1.75,-13.969095,-10.199176,3.7699194
1,gaussian,-20,87.5,2.0,2.0,0.0,-17.448484,-12.960027,4.4884577
1,white,20,87.5,86.5,87.5,1.0,19.990845,19.602207,-0.38863754
1,white,15,87.5,80.25,83.25,3.0,15.000688,15.663139,0.66245174
1,white,10,87.5,68.75,76.5,7.75,10.004577,11.235161,1.2305841
1,white,5,87.5,52.5,61.75000000000001,9.250000000000007,5.0072365,6.5306025,1.523366
1,white,0,87.5,28.249999999999996,44.25,16.000000000000004,0.012399274,1.8346083,1.822209
1,white,-5,87.5,8.75,22.75,14.0,-4.9626427,-2.655802,2.3068407
1,white,-10,87.5,2.25,11.0,8.75,-9.824893,-6.8225665,3.0023265
1,white,-15,87.5,2.0,2.75,0.75,-14.273318,-10.435195,3.8381233
1,white,-20,87.5,2.0,2.25,0.25,-17.858934,-13.260226,4.598708
