SNR_dB,Run,Seed,Noisy_%,UNet_%
-10,1,42,3.5,24.75
-10,2,43,3.5,24.0
-10,3,44,3.25,25.25
-10,4,45,3.0,26.5
-10,5,46,3.5,26.25
-5,1,42,2.75,41.75
-5,2,43,2.75,42.0
-5,3,44,2.75,42.0
-5,4,45,2.75,42.0
-5,5,46,2.75,42.0
0,1,42,10.25,46.0
0,2,43,10.75,45.75
0,3,44,10.25,46.25
0,4,45,9.75,46.25
0,5,46,10.0,46.25
5,1,42,21.5,48.0
5,2,43,20.5,47.25
5,3,44,21.25,47.5
5,4,45,21.25,48.5
5,5,46,20.5,48.0
10,1,42,29.5,47.75
10,2,43,30.25,46.5
10,3,44,30.0,47.25
10,4,45,29.75,47.0
10,5,46,29.5,46.75
15,1,42,39.25,47.25
15,2,43,39.75,47.0
15,3,44,39.25,47.0
15,4,45,40.0,47.0
15,5,46,38.75,46.75
20,1,42,44.5,47.75
20,2,43,44.5,47.75
20,3,44,44.0,47.5
20,4,45,44.25,47.5
20,5,46,44.5,47.5
